id;name;department;municipality;years_works;type_person;rol
1;Oneida Rayeth Pinto Perez;LA_GUAJIRA;NO APLICA;1;NO APLICA;POLITICO
2;Jorge Eliecer Coral Rivas;PUTUMAYO;NO APLICA;1;NO APLICA;OTRO
3;Marqueza Becerra Payares;SUCRE;NO APLICA;58;PREFERENTE;CANTANTE
4;Luis Antonio Rodriguez Lopez;GUAINIA;NO APLICA;1;NO APLICA;OTRO
5;Irma Adelaida Restrepo Cifuentes;ANTIOQUIA;BELLO;4;PREFERENTE;POLITICO
6;Omar Antonio Castrillon Velasquez;ANTIOQUIA;BELLO;5;PREFERENTE;POLITICO
7;Jesus Maria Bustamante Carmona;ANTIOQUIA;BELLO;11;PREFERENTE;OTRO
8;Sandra Milena Gaviria Gongora;SANTANDER;BARRANCABERMEJA;1;PREFERENTE;CANTANTE
9;Eusebio Peña Urquiza;SANTANDER;BARRANCABERMEJA;5;PREFERENTE;CANTANTE
10;Oscar Noriega Redondo;SANTANDER;RIONEGRO;6;PREFERENTE;POLITICO
11;Sandra Milena Barrera;SANTANDER;RIONEGRO;9;PREFERENTE;CANTANTE
12;Aris Elias Garcia Arteaga;SANTANDER;BARRANCABERMEJA;1;PREFERENTE;CANTANTE
13;Elvira Maria Beleño Morales;SANTANDER;BARRANCABERMEJA;16;PREFERENTE;POLITICO
14;Ruben Dario Ortegon Vega;CUNDINAMARCA;GIRARDOT;3;PREFERENTE;POLITICO
15;Antenor Corredor Gomez;CASANARE;TAMARA;2;PREFERENTE;POLITICO
16;Yoraima Segua Pidiache;CASANARE;TAMARA;8;PREFERENTE;POLITICO
17;Avelino Cordoba Cañas;PUTUMAYO;NO APLICA;59;PREFERENTE;OTRO
18;Jaime Pacheco Garcia;META;URIBE;0;NO APLICA;POLITICO
19;Ramiro Valdemar Villota;NARIÑO;PASTO;5;PREFERENTE;POLITICO
20;Leidy Milena Rosales Jurado;NARIÑO;PASTO;18;PREFERENTE;POLITICO
21;Sandra Patricia Walteros Medina;CASANARE;MANI;8;PREFERENTE;ACTOR
22;Carlos Alberto Cabrera Garcia;CASANARE;TRINIDAD;0;NO APLICA;OTRO
23;Jaime Gutierrez Jaramillo;CASANARE;TAURAMENA;9;PREFERENTE;CANTANTE
24;Luis Carlos Castro Cuevas;CASANARE;TRINIDAD;5;PREFERENTE;CANTANTE
25;Jhonson Suarez Alcantar;CASANARE;SACAMA;4;PREFERENTE;POLITICO
26;Yeidy Bibiana Caceres Benitez;CASANARE;PAZ_DE_ARIPORO_(MORENO);11;PREFERENTE;POLITICO
27;Yudy Alejandra Pardo Salamanca;CASANARE;LA_SALINA;1;PREFERENTE;POLITICO
28;German Rodriguez Baron;CASANARE;LA_SALINA;3;PREFERENTE;ACTOR
29;Wilber Barrera Vargas;CASANARE;LA_SALINA;5;PREFERENTE;OTRO
30;Diana Lucero Cadena;BOGOTA D.C.;BOGOTA._D.C.;86;PREFERENTE;POLITICO
31;Flor Marina Garzon Navarrete;BOGOTA D.C.;BOGOTA._D.C.;88;PREFERENTE;OTRO
32;Diego Fernando Angulo Camacho;BOGOTA D.C.;BOGOTA._D.C.;91;PREFERENTE;CANTANTE
33;Carlos Eduardo Portilla Rosero;BOGOTA D.C.;BOGOTA._D.C.;86;PREFERENTE;CANTANTE
34;Jorge Enrique Grosso Perez;BOGOTA D.C.;BOGOTA._D.C.;89;PREFERENTE;ACTOR
35;Hugo Barajas Garcia;BOGOTA D.C.;BOGOTA._D.C.;81;PREFERENTE;POLITICO
36;Diego Armando Perez Roa;BOGOTA D.C.;BOGOTA._D.C.;82;PREFERENTE;POLITICO
37;Leonardo Cubides Arenas;BOGOTA D.C.;BOGOTA._D.C.;84;PREFERENTE;OTRO
38;Juan Antonio Moya Castro;BOGOTA D.C.;BOGOTA._D.C.;86;PREFERENTE;POLITICO
39;Manuel Benigno Pirajan Lozano;BOGOTA D.C.;BOGOTA._D.C.;86;PREFERENTE;ACTOR
40;Tania Del Mar Bonilla Suarez;BOGOTA D.C.;BOGOTA._D.C.;88;PREFERENTE;POLITICO
41;Miyer Andrey Parra Acosta;CASANARE;CHAMEZA;0;NO APLICA;POLITICO
42;Alicia Mercedes Arenas Valderrama;BOGOTA D.C.;BOGOTA._D.C.;32;PREFERENTE;POLITICO
43;Jorge Duran Silva;BOGOTA D.C.;BOGOTA._D.C.;45;PREFERENTE;CANTANTE
44;Alexander Martinez Parra;CASANARE;HATO_COROZAL;0;NO APLICA;CANTANTE
45;Paul Achagua Espinosa;CASANARE;SAN_LUIS_DE_PALENQUE;6;PREFERENTE;POLITICO
46;Martha Erminia Moreno Rodriguez;CASANARE;HATO_COROZAL;2;PREFERENTE;OTRO
47;Yurien Esneider Moreno Guerrero;CASANARE;HATO_COROZAL;11;PREFERENTE;POLITICO
48;Carlos Fernando Asprilla Lara;BOGOTA D.C.;BOGOTA._D.C.;87;PREFERENTE;OTRO
49;Juan Felipe Namen Pulgarin;BOGOTA D.C.;BOGOTA._D.C.;81;PREFERENTE;CANTANTE
50;Gabriel Guillermo Hincapie Rojas;CASANARE;NUNCHIA;3;PREFERENTE;ACTOR
51;Alvaro Jose Molina Rodriguez;CESAR;VALLEDUPAR;8;PREFERENTE;OTRO
52;Alcedis Rafael Ortiz Macias;CESAR;VALLEDUPAR;18;PREFERENTE;ACTOR
53;Augusto Alejandro Aponte Pinzon;META;NO APLICA;54;PREFERENTE;CANTANTE
54;Sandra Milena Cantillo Vasquez;BOGOTA D.C.;BOGOTA._D.C.;82;PREFERENTE;CANTANTE
55;Genis Macana Capera;TOLIMA;COYAIMA;5;PREFERENTE;CANTANTE
56;Derfilia Paez Martinez;ATLANTICO;SANTA_LUCIA;6;PREFERENTE;CANTANTE
57;Aristides De Jesus Hernandez Gonzalez;CESAR;VALLEDUPAR;9;PREFERENTE;ACTOR
58;Maria Angelica Villegas Yaguna;CESAR;VALLEDUPAR;16;PREFERENTE;POLITICO
59;Nidia Elvira Vides Rodriguez;CESAR;VALLEDUPAR;18;PREFERENTE;POLITICO
60;Ricardo Rodriguez Ramos;ARAUCA;CRAVO_NORTE;5;PREFERENTE;POLITICO
61;Yarlyn Astrid Romero Gomez;BOGOTA D.C.;BOGOTA._D.C.;84;PREFERENTE;POLITICO
62;Jorge Emerson Bonilla Garcia;QUINDIO;ARMENIA;8;PREFERENTE;CANTANTE
63;Juan Carlos Garcia Gaviria;QUINDIO;ARMENIA;9;PREFERENTE;POLITICO
64;Atalo David Mendoza Diaz;VAUPES;TARAIRA;3;PREFERENTE;POLITICO
65;German Morales Rey;BOGOTA D.C.;BOGOTA._D.C.;82;PREFERENTE;CANTANTE
